nama,lat,lng,alamat,deskripsi,rating,foto,placeId
"Parhallow Viewpoint & Coffee Shop",2.6173738,98.8723285,"Jalur Tomok–Tuktuk, Kec. Simanindo, Kab. Samosir","Spot foto & kedai kopi dengan pemandangan Danau Toba dan lalu-lalang feri Tomok–Parapat, ±10 menit dari pusat Tomok.",4.6,,"ChIJpfLShlDoMTARgD5-7ELQr2c"
"Air Terjun Sigarattung (Sampuran Na Pitu)",2.6100738,98.8641736,"Jalur Tomok–Tuktuk, Kec. Simanindo, Kab. Samosir","Air terjun tepi jalan, bisa difoto langsung dari pinggir jalan tanpa perlu trekking.",4.5,,"ChIJVTaq1kPoMTARYcelLVPIiOg"
