judul,kategori,deskripsi,foto,tanggal,terbit
"Penyuluhan Pendidikan di SD Swasta Assisi Tomok Parsaoran","Pendidikan","Kunjungan perdana ke SD Swasta Assisi Tomok Parsaoran.","D:\\KKN PDD\\IMG_20260801_221726_926.jpg.jpeg","2026-07-01",ya
"Kegiatan Bersama Aparat Desa Tomok Parsaoran","Sosial","Momen kebersamaan Kelompok KKN 1 & 2 bersama Aparat Desa.","D:\\KKN PDD\\IMG_20260801_220741_118.jpg.jpeg","2026-07-01",ya
